urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-ksos:1.0:base:station1:village1:adc0,urn:ogc:def:parameter:x-ksos:1.0:base:station1:village1:air_temperature
2014-02-24T19:36:34.353571+05:30,70,22.55859375
2014-02-24T19:52:35.896307+05:30,69,22.23632813
2014-02-24T20:08:37.101276+05:30,68,21.9140625
2014-02-24T20:24:39.109559+05:30,67,21.59179688
2014-02-24T20:40:40.471522+05:30,67,21.59179688
2014-02-24T20:56:41.476246+05:30,68,21.9140625
2014-02-24T21:12:42.596586+05:30,65,20.94726563
2014-02-24T21:28:43.751777+05:30,65,20.94726563
2014-02-24T21:44:44.979827+05:30,67,21.59179688
2014-02-24T22:00:46.032690+05:30,65,20.94726563
2014-02-24T22:16:47.139161+05:30,64,20.625
2014-02-24T22:32:48.370399+05:30,65,20.94726563
2014-02-24T22:48:49.392713+05:30,65,20.94726563
2014-02-24T23:04:50.569405+05:30,66,21.26953125
2014-02-24T23:20:52.060715+05:30,65,20.94726563
2014-02-24T23:36:53.393508+05:30,65,20.94726563
2014-02-24T23:52:54.690367+05:30,67,21.59179688
2014-02-25T00:08:55.886642+05:30,65,20.94726563
2014-02-25T00:25:02.026047+05:30,66,21.26953125
2014-02-25T00:41:03.141842+05:30,65,20.94726563
2014-02-25T00:57:04.350199+05:30,66,21.26953125
2014-02-25T01:13:05.655416+05:30,64,20.625
2014-02-25T01:29:06.840007+05:30,66,21.26953125
2014-02-25T01:45:07.989456+05:30,66,21.26953125
2014-02-25T02:01:08.929097+05:30,66,21.26953125
2014-02-25T02:17:09.997689+05:30,65,20.94726563
2014-02-25T02:33:11.516745+05:30,66,21.26953125
2014-02-25T02:49:12.943101+05:30,65,20.94726563
2014-02-25T03:05:14.167078+05:30,64,20.625
2014-02-25T03:21:15.119664+05:30,65,20.94726563
2014-02-25T03:37:16.245054+05:30,67,21.59179688
2014-02-25T03:53:17.465804+05:30,68,21.9140625
2014-02-25T04:09:18.640246+05:30,67,21.59179688
2014-02-25T04:25:19.889353+05:30,55,17.72460938
2014-02-25T04:41:20.868736+05:30,57,18.36914063
2014-02-25T04:57:22.334242+05:30,57,18.36914063
2014-02-25T05:13:23.567573+05:30,56,18.046875
2014-02-25T05:29:24.729803+05:30,57,18.36914063
2014-02-25T05:45:25.956343+05:30,54,17.40234375
2014-02-25T06:01:27.140421+05:30,56,18.046875
2014-02-25T06:17:28.262175+05:30,56,18.046875
2014-02-25T06:33:29.435545+05:30,56,18.046875
2014-02-25T06:49:30.601047+05:30,55,17.72460938
2014-02-25T07:05:31.610689+05:30,57,18.36914063
2014-02-25T07:21:32.839442+05:30,57,18.36914063
2014-02-25T07:37:33.920486+05:30,61,19.65820313
2014-02-25T07:53:35.150562+05:30,63,20.30273438
2014-02-25T08:09:36.568692+05:30,65,20.94726563
2014-02-25T08:25:37.770028+05:30,70,22.55859375
2014-02-25T08:41:38.822946+05:30,68,21.9140625
2014-02-25T08:57:39.926986+05:30,69,22.23632813
2014-02-25T09:13:41.187131+05:30,75,24.16992188
2014-02-25T09:29:42.490810+05:30,73,23.52539063
2014-02-25T09:45:43.517527+05:30,73,23.52539063
2014-02-25T10:01:44.288415+05:30,68,21.9140625
2014-02-25T10:17:45.344375+05:30,73,23.52539063
2014-02-25T10:33:46.677565+05:30,74,23.84765625
2014-02-25T10:49:47.947760+05:30,80,25.78125
2014-02-25T11:05:49.176100+05:30,86,27.71484375
2014-02-25T11:21:50.138364+05:30,93,29.97070313
2014-02-25T11:37:51.390796+05:30,96,30.9375
2014-02-25T11:53:52.505844+05:30,96,30.9375
2014-02-25T12:09:53.552420+05:30,97,31.25976563
2014-02-25T12:25:54.591690+05:30,98,31.58203125
2014-02-25T12:41:55.955250+05:30,93,29.97070313
2014-02-25T12:57:57.258818+05:30,94,30.29296875
2014-02-25T13:13:58.484344+05:30,99,31.90429688
2014-02-25T13:29:59.557824+05:30,98,31.58203125
2014-02-25T13:46:00.628906+05:30,99,31.90429688
2014-02-25T14:02:01.938958+05:30,100,32.2265625
2014-02-25T14:18:03.395996+05:30,99,31.90429688
2014-02-25T14:34:04.463921+05:30,98,31.58203125
2014-02-25T14:50:05.728830+05:30,99,31.90429688
2014-02-25T15:06:07.212446+05:30,101,32.54882813
2014-02-25T15:22:08.401831+05:30,100,32.2265625
2014-02-25T15:38:10.088563+05:30,102,32.87109375
2014-02-25T15:54:11.747050+05:30,99,31.90429688
2014-02-25T16:10:13.091648+05:30,99,31.90429688
2014-02-25T16:26:14.435352+05:30,97,31.25976563
2014-02-25T16:42:15.676438+05:30,98,31.58203125
2014-02-25T16:58:17.010413+05:30,97,31.25976563
2014-02-25T17:14:18.072882+05:30,95,30.61523438
2014-02-25T17:30:19.316610+05:30,93,29.97070313
2014-02-25T17:46:20.761963+05:30,88,28.359375
2014-02-25T18:02:22.228553+05:30,85,27.39257813
2014-02-25T18:18:23.511390+05:30,79,25.45898438
2014-02-25T18:34:24.797057+05:30,77,24.81445313
2014-02-25T18:50:26.149526+05:30,76,24.4921875
2014-02-25T19:06:27.251652+05:30,74,23.84765625
2014-02-25T19:22:28.397670+05:30,73,23.52539063
2014-02-25T19:38:29.517919+05:30,73,23.52539063
2014-02-25T19:54:31.378880+05:30,75,24.16992188
2014-02-25T20:10:32.669569+05:30,77,24.81445313
2014-02-25T20:26:33.657577+05:30,72,23.203125
2014-02-25T20:42:34.693761+05:30,67,21.59179688
2014-02-25T20:58:35.797852+05:30,64,20.625
2014-02-25T21:14:36.488567+05:30,66,21.26953125
2014-02-25T21:30:37.409849+05:30,63,20.30273438
2014-02-25T21:46:38.406799+05:30,63,20.30273438
2014-02-25T22:02:39.563081+05:30,61,19.65820313
2014-02-25T22:18:40.517329+05:30,60,19.3359375
2014-02-25T22:34:41.791142+05:30,60,19.3359375
2014-02-25T22:50:43.201383+05:30,60,19.3359375
2014-02-25T23:06:44.691088+05:30,58,18.69140625
2014-02-25T23:22:46.062015+05:30,56,18.046875
2014-02-25T23:38:46.694891+05:30,58,18.69140625
2014-02-25T23:54:48.619110+05:30,55,17.72460938
2014-02-26T00:10:50.125495+05:30,58,18.69140625
2014-02-26T00:26:51.254786+05:30,52,16.7578125
2014-02-26T00:42:57.363291+05:30,54,17.40234375
2014-02-26T00:58:58.479219+05:30,53,17.08007813
2014-02-26T01:14:59.526399+05:30,52,16.7578125
2014-02-26T01:31:00.745262+05:30,50,16.11328125
2014-02-26T01:47:01.441003+05:30,51,16.43554688
2014-02-26T02:03:02.656753+05:30,52,16.7578125
2014-02-26T02:19:03.980462+05:30,50,16.11328125
2014-02-26T02:35:05.008146+05:30,51,16.43554688
2014-02-26T02:51:06.031781+05:30,50,16.11328125
2014-02-26T03:07:07.280461+05:30,50,16.11328125
2014-02-26T03:23:08.633757+05:30,50,16.11328125
2014-02-26T03:39:10.111184+05:30,49,15.79101563
2014-02-26T03:55:11.420441+05:30,50,16.11328125
2014-02-26T04:11:12.780256+05:30,49,15.79101563
2014-02-26T04:27:13.464449+05:30,48,15.46875
2014-02-26T04:43:14.833841+05:30,49,15.79101563
2014-02-26T04:59:15.971848+05:30,49,15.79101563
2014-02-26T05:15:17.182859+05:30,49,15.79101563
2014-02-26T05:31:18.408197+05:30,51,16.43554688
2014-02-26T05:47:19.602289+05:30,47,15.14648438
2014-02-26T06:03:21.110336+05:30,48,15.46875
2014-02-26T06:19:22.457283+05:30,46,14.82421875
2014-02-26T06:35:23.648122+05:30,49,15.79101563
2014-02-26T06:51:24.775990+05:30,46,14.82421875
2014-02-26T07:07:25.966743+05:30,48,15.46875
2014-02-26T07:23:27.323115+05:30,54,17.40234375
2014-02-26T07:39:28.313766+05:30,60,19.3359375
2014-02-26T07:55:29.456788+05:30,65,20.94726563
2014-02-26T08:11:30.740987+05:30,68,21.9140625
2014-02-26T08:27:31.866920+05:30,70,22.55859375
2014-02-26T08:43:32.955667+05:30,70,22.55859375
2014-02-26T08:59:33.095957+05:30,74,23.84765625
2014-02-26T09:15:34.334662+05:30,75,24.16992188
